file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last
A38670,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1
A38668,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1
A38525,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1
A38528,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1
A38532,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1
A38527,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1
A38533,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1
A38524,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1
A38530,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1
A42121,A,Library,IMPLICIT_COLUMNS,0,2015-05-11 15:06:50,2016-07-13 15:10:48,1,0
A39523,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2016-11-10 08:53:03,1,0
A59355,A,Library,IMPLICIT_COLUMNS,1,2017-06-08 23:44:49,2017-08-25 00:57:11,1,0
A22340,A,Library,IMPLICIT_COLUMNS,0,2017-07-24 18:23:25,2019-08-10 13:14:50,1,1
A3746,A,Utility,IMPLICIT_COLUMNS,0,2017-10-26 09:02:18,2019-10-09 19:06:00,0,1
A39119,A,Library,IMPLICIT_COLUMNS,0,2012-02-01 00:54:32,2012-12-20 01:58:20,1,1
A30358,A,Utility,IMPLICIT_COLUMNS,0,2009-12-28 13:13:44,2011-11-01 21:28:41,1,1
A30447,A,Utility,IMPLICIT_COLUMNS,0,2010-11-29 07:53:21,2011-11-01 21:28:41,1,1
A30340,A,Utility,IMPLICIT_COLUMNS,0,2009-12-28 13:13:44,2011-11-01 21:28:41,1,1
A43643,A,Library,IMPLICIT_COLUMNS,0,2013-12-10 05:57:55,2019-10-09 20:47:09,0,1
A43640,A,Library,IMPLICIT_COLUMNS,0,2013-12-10 05:57:55,2019-10-09 20:47:09,1,1
A43639,A,Library,IMPLICIT_COLUMNS,0,2013-12-10 05:57:55,2019-10-09 20:47:09,1,1
A43593,A,Library,IMPLICIT_COLUMNS,0,2013-12-10 05:57:55,2014-11-20 06:23:13,1,1
A43530,A,Library,IMPLICIT_COLUMNS,0,2013-12-10 05:57:55,2014-11-20 06:23:13,1,1
A24085,A,Library,IMPLICIT_COLUMNS,0,2017-09-27 19:06:26,2018-09-21 19:50:45,1,1
A13315,A,Multimedia,IMPLICIT_COLUMNS,0,2013-03-25 11:38:17,2014-06-15 23:22:46,1,1
A12922,A,Library,IMPLICIT_COLUMNS,1,2017-06-22 16:42:36,2017-10-11 22:25:38,1,0
A19146,A,Library,IMPLICIT_COLUMNS,0,2018-05-24 22:02:07,2019-08-28 22:07:57,1,1
