file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last,T,days,DBsmell
A50860,A,Library,IMPLICIT_COLUMNS,0,2015-05-18 15:34:39,2019-10-09 20:47:09,1,1,1605 days 05:12:30.000000000,1605,True
A50808,A,Library,IMPLICIT_COLUMNS,0,2015-05-18 15:34:39,2019-10-09 20:47:09,1,1,1605 days 05:12:30.000000000,1605,True
A37803,A,Library,IMPLICIT_COLUMNS,0,2011-02-11 02:35:13,2011-07-19 19:31:30,1,1,158 days 16:56:17.000000000,158,True
A990,A,Utility,IMPLICIT_COLUMNS,0,2010-08-09 03:44:26,2013-04-26 17:55:11,1,1,991 days 14:10:45.000000000,991,True
A1800,A,Multimedia,IMPLICIT_COLUMNS,0,2015-09-23 20:55:25,2017-11-24 00:57:13,1,1,792 days 04:01:48.000000000,792,True
A43157,A,Library,IMPLICIT_COLUMNS,0,2016-06-21 14:01:54,2019-10-10 13:13:11,1,1,1205 days 23:11:17.000000000,1205,True
A43175,A,Library,IMPLICIT_COLUMNS,0,2016-07-13 15:10:48,2019-10-10 13:13:11,1,1,1183 days 22:02:23.000000000,1183,True
A41022,A,Library,IMPLICIT_COLUMNS,0,2014-11-20 01:48:47,2019-10-10 13:13:11,1,1,1785 days 11:24:24.000000000,1785,True
A42797,A,Library,IMPLICIT_COLUMNS,0,2017-08-22 19:00:54,2019-10-10 13:13:11,0,1,778 days 18:12:17.000000000,778,True
A38087,A,Library,IMPLICIT_COLUMNS,1,2014-06-17 15:50:30,2017-03-09 15:17:57,1,0,995 days 23:27:27.000000000,995,True
A38666,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2019-10-10 13:13:11,1,1,1940 days 21:22:41.000000000,1940,True
A38664,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2019-10-10 13:13:11,1,1,1940 days 21:22:41.000000000,1940,True
A38663,A,Library,IMPLICIT_COLUMNS,1,2014-06-17 15:50:30,2014-11-20 01:48:47,1,0,155 days 09:58:17.000000000,155,True
A38660,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2019-10-10 13:13:11,1,1,1940 days 21:22:41.000000000,1940,True
A38659,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2019-10-10 13:13:11,1,1,1940 days 21:22:41.000000000,1940,True
A38670,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1,187 days 19:55:03.000000000,187,True
A38668,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1,187 days 19:55:03.000000000,187,True
A38525,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1,187 days 19:55:03.000000000,187,True
A38528,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1,187 days 19:55:03.000000000,187,True
A38532,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1,187 days 19:55:03.000000000,187,True
A38527,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1,187 days 19:55:03.000000000,187,True
A38533,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1,187 days 19:55:03.000000000,187,True
