antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'SpaghettiCode'}),frozenset({'AntiSingleton'}),0.013958397167466722,0.0646852551663092,0.013958397167466722,1.0,15.459473684210526,0.01305549468497645,inf
frozenset({'AntiSingleton'}),frozenset({'SpaghettiCode'}),0.0646852551663092,0.013958397167466722,0.013958397167466722,0.21578947368421053,15.459473684210526,0.01305549468497645,1.2573684868334316
frozenset({'in_bug_fix'}),frozenset({'in_bug_induce'}),0.2595240527014605,0.1094542607156232,0.08477172913900521,0.32664305391578125,2.9842881563509307,0.05636571581264442,1.3225463024673298
frozenset({'in_bug_induce'}),frozenset({'in_bug_fix'}),0.1094542607156232,0.2595240527014605,0.08477172913900521,0.7744945567651633,2.9842881563509307,0.05636571581264442,3.2836278214686963
frozenset({'SpaghettiCode'}),frozenset({'ComplexClass'}),0.013958397167466722,0.3850815374663807,0.010758179280291423,0.7707317073170731,2.00147665449778,0.005383058238476965,2.68209116637004
frozenset({'ComplexClass'}),frozenset({'SpaghettiCode'}),0.3850815374663807,0.013958397167466722,0.010758179280291423,0.027937406064892582,2.00147665449778,0.005383058238476965,1.0143807703173064
frozenset({'LongParameterList'}),frozenset({'ComplexClass'}),0.2651074115684472,0.3850815374663807,0.16487931093180813,0.6219339925516888,1.615070918859584,0.06279134129129793,1.626484398012668
frozenset({'ComplexClass'}),frozenset({'LongParameterList'}),0.3850815374663807,0.2651074115684472,0.16487931093180813,0.42816727079833794,1.615070918859584,0.06279134129129793,1.2851530716990252
frozenset({'ComplexClass'}),frozenset({'AntiSingleton'}),0.3850815374663807,0.0646852551663092,0.03373846729990127,0.08761382724781187,1.3544636567105148,0.00882936978905378,1.0251303370943678
frozenset({'AntiSingleton'}),frozenset({'ComplexClass'}),0.0646852551663092,0.3850815374663807,0.03373846729990127,0.521578947368421,1.3544636567105146,0.00882936978905378,1.285308117507015
frozenset({'ComplexClass'}),frozenset({'in_bug_induce'}),0.3850815374663807,0.1094542607156232,0.05501651176250298,0.14286977278755195,1.3052920174459606,0.012867696763884724,1.038985338529715
frozenset({'in_bug_induce'}),frozenset({'ComplexClass'}),0.1094542607156232,0.3850815374663807,0.05501651176250298,0.5026438569206843,1.3052920174459604,0.012867696763884724,1.2363745197283214
frozenset({'in_bug_fix'}),frozenset({'LongParameterList'}),0.2595240527014605,0.2651074115684472,0.08078847921560617,0.3112947658402204,1.1742212863779113,0.011986729364168697,1.0670640384026147
frozenset({'LongParameterList'}),frozenset({'in_bug_fix'}),0.2651074115684472,0.2595240527014605,0.08078847921560617,0.3047386670091178,1.1742212863779111,0.011986729364168697,1.0650325455511134
frozenset({'AntiSingleton'}),frozenset({'LongParameterList'}),0.0646852551663092,0.2651074115684472,0.020086473972696015,0.3105263157894737,1.171322649760397,0.0029379334089112558,1.0658747465801148
frozenset({'LongParameterList'}),frozenset({'AntiSingleton'}),0.2651074115684472,0.0646852551663092,0.020086473972696015,0.0757673044818287,1.171322649760397,0.0029379334089112558,1.0119905402278657
frozenset({'in_bug_fix'}),frozenset({'ComplexClass'}),0.2595240527014605,0.3850815374663807,0.10833077996799782,0.4174209628755084,1.0839807216463893,0.008392858744213402,1.055510794842103
frozenset({'ComplexClass'}),frozenset({'in_bug_fix'}),0.3850815374663807,0.2595240527014605,0.10833077996799782,0.2813190699319247,1.083980721646389,0.008392858744213402,1.030326416520332
frozenset({'in_bug_induce'}),frozenset({'LongParameterList'}),0.1094542607156232,0.2651074115684472,0.03138937119123004,0.2867807153965785,1.0817529155443304,0.0023722354477731973,1.0303879946827048
frozenset({'LongParameterList'}),frozenset({'in_bug_induce'}),0.2651074115684472,0.1094542607156232,0.03138937119123004,0.11840246564787466,1.0817529155443304,0.0023722354477731973,1.0101499886099696
frozenset({'LongParameterList'}),frozenset({'LongMethod'}),0.2651074115684472,0.512136996561468,0.14625676641813912,0.5516887119558239,1.0772287799161346,0.010485452891289576,1.0882237776499137
frozenset({'LongMethod'}),frozenset({'LongParameterList'}),0.512136996561468,0.2651074115684472,0.14625676641813912,0.28558133351060294,1.0772287799161346,0.010485452891289576,1.0286581564879362
frozenset({'in_bug_induce'}),frozenset({'IMPLICIT_COLUMNS'}),0.1094542607156232,0.09607462635753923,0.011166717733973376,0.1020217729393468,1.0619013240777584,0.0006509405324791936,1.006622818240565
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'in_bug_induce'}),0.09607462635753923,0.1094542607156232,0.011166717733973376,0.11622962437987243,1.0619013240777582,0.0006509405324791936,1.007666429936051
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'LongMethod'}),0.09607462635753923,0.512136996561468,0.050726857998842474,0.5279943302622254,1.0309630700520074,0.0015234874103270749,1.033595642420073
frozenset({'LongMethod'}),frozenset({'IMPLICIT_COLUMNS'}),0.512136996561468,0.09607462635753923,0.050726857998842474,0.09904939174366814,1.0309630700520072,0.0015234874103270749,1.0033018074008364
frozenset({'in_bug_fix'}),frozenset({'LongMethod'}),0.2595240527014605,0.512136996561468,0.13570285636468865,0.5228912501639774,1.0209987828934726,0.002790987478702517,1.0225404661017126
frozenset({'LongMethod'}),frozenset({'in_bug_fix'}),0.512136996561468,0.2595240527014605,0.13570285636468865,0.26497374193977263,1.0209987828934726,0.002790987478702517,1.0074142783044162
frozenset({'ComplexClass'}),frozenset({'LongMethod'}),0.3850815374663807,0.512136996561468,0.19735811799952338,0.5125099460701972,1.0007282221578078,0.00014361597021875228,1.000765040241791
