antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'AntiSingleton'}),frozenset({'SpaghettiCode'}),0.038461538461538464,0.01282051282051282,0.01282051282051282,0.3333333333333333,26.0,0.012327416173570018,1.4807692307692306
frozenset({'SpaghettiCode'}),frozenset({'AntiSingleton'}),0.01282051282051282,0.038461538461538464,0.01282051282051282,1.0,26.0,0.012327416173570018,inf
frozenset({'FEAR_OF_THE_UNKNOWN'}),frozenset({'AntiSingleton'}),0.08974358974358974,0.038461538461538464,0.019230769230769232,0.2142857142857143,5.571428571428571,0.015779092702169626,1.2237762237762237
frozenset({'AntiSingleton'}),frozenset({'FEAR_OF_THE_UNKNOWN'}),0.038461538461538464,0.08974358974358974,0.019230769230769232,0.5,5.571428571428571,0.015779092702169626,1.8205128205128205
frozenset({'ComplexClass'}),frozenset({'SpaghettiCode'}),0.28846153846153844,0.01282051282051282,0.01282051282051282,0.044444444444444446,3.466666666666667,0.009122287968441814,1.0330948121645795
frozenset({'SpaghettiCode'}),frozenset({'ComplexClass'}),0.01282051282051282,0.28846153846153844,0.01282051282051282,1.0,3.466666666666667,0.009122287968441814,inf
frozenset({'FEAR_OF_THE_UNKNOWN'}),frozenset({'ComplexClass'}),0.08974358974358974,0.28846153846153844,0.07051282051282051,0.7857142857142857,2.723809523809524,0.04462524654832348,3.3205128205128203
frozenset({'ComplexClass'}),frozenset({'FEAR_OF_THE_UNKNOWN'}),0.28846153846153844,0.08974358974358974,0.07051282051282051,0.24444444444444446,2.723809523809524,0.04462524654832348,1.2047511312217194
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'FEAR_OF_THE_UNKNOWN'}),0.2692307692307692,0.08974358974358974,0.057692307692307696,0.2142857142857143,2.3877551020408165,0.03353057199211046,1.1585081585081585
frozenset({'FEAR_OF_THE_UNKNOWN'}),frozenset({'IMPLICIT_COLUMNS'}),0.08974358974358974,0.2692307692307692,0.057692307692307696,0.6428571428571429,2.3877551020408165,0.03353057199211046,2.0461538461538464
frozenset({'AntiSingleton'}),frozenset({'ComplexClass'}),0.038461538461538464,0.28846153846153844,0.02564102564102564,0.6666666666666666,2.3111111111111113,0.014546351084812623,2.1346153846153846
frozenset({'ComplexClass'}),frozenset({'AntiSingleton'}),0.28846153846153844,0.038461538461538464,0.02564102564102564,0.08888888888888889,2.311111111111111,0.014546351084812623,1.055347091932458
frozenset({'ComplexClass'}),frozenset({'IMPLICIT_COLUMNS'}),0.28846153846153844,0.2692307692307692,0.14743589743589744,0.5111111111111112,1.8984126984126988,0.06977317554240632,1.494755244755245
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'ComplexClass'}),0.2692307692307692,0.28846153846153844,0.14743589743589744,0.5476190476190477,1.8984126984126988,0.06977317554240632,1.5728744939271257
frozenset({'LongMethod'}),frozenset({'ComplexClass'}),0.5448717948717948,0.28846153846153844,0.21794871794871795,0.4,1.386666666666667,0.060774161735700216,1.185897435897436
frozenset({'ComplexClass'}),frozenset({'LongMethod'}),0.28846153846153844,0.5448717948717948,0.21794871794871795,0.7555555555555556,1.386666666666667,0.060774161735700216,1.8618881118881128
frozenset({'LongParameterList'}),frozenset({'ComplexClass'}),0.05128205128205128,0.28846153846153844,0.019230769230769232,0.37500000000000006,1.3000000000000003,0.004437869822485211,1.1384615384615384
frozenset({'ComplexClass'}),frozenset({'LongParameterList'}),0.28846153846153844,0.05128205128205128,0.019230769230769232,0.06666666666666668,1.3000000000000003,0.004437869822485211,1.0164835164835164
frozenset({'AntiSingleton'}),frozenset({'IMPLICIT_COLUMNS'}),0.038461538461538464,0.2692307692307692,0.01282051282051282,0.3333333333333333,1.2380952380952381,0.0024654832347140027,1.096153846153846
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'AntiSingleton'}),0.2692307692307692,0.038461538461538464,0.01282051282051282,0.047619047619047616,1.238095238095238,0.0024654832347140027,1.0096153846153848
frozenset({'AntiSingleton'}),frozenset({'LongMethod'}),0.038461538461538464,0.5448717948717948,0.02564102564102564,0.6666666666666666,1.223529411764706,0.004684418145956607,1.3653846153846154
frozenset({'LongMethod'}),frozenset({'AntiSingleton'}),0.5448717948717948,0.038461538461538464,0.02564102564102564,0.047058823529411764,1.2235294117647058,0.004684418145956607,1.0090218423551758
frozenset({'FEAR_OF_THE_UNKNOWN'}),frozenset({'LongMethod'}),0.08974358974358974,0.5448717948717948,0.057692307692307696,0.6428571428571429,1.1798319327731095,0.008793556870479953,1.2743589743589747
frozenset({'LongMethod'}),frozenset({'FEAR_OF_THE_UNKNOWN'}),0.5448717948717948,0.08974358974358974,0.057692307692307696,0.10588235294117648,1.1798319327731093,0.008793556870479953,1.0180499325236168
frozenset({'LongMethod'}),frozenset({'IMPLICIT_COLUMNS'}),0.5448717948717948,0.2692307692307692,0.16666666666666666,0.3058823529411765,1.1361344537815128,0.01997041420118345,1.0528031290743156
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'LongMethod'}),0.2692307692307692,0.5448717948717948,0.16666666666666666,0.6190476190476191,1.1361344537815128,0.01997041420118345,1.1947115384615385
